CTRL,PSOnonlesional,PSOlesional,ADnonlesional,ADlesional
SRR8052747,0,0,0,1,0
SRR8052749,0,0,0,1,0
SRR8052754,1,0,0,0,0
SRR8052757,1,0,0,0,0
SRR8052758,1,0,0,0,0
SRR8052759,1,0,0,0,0
SRR8052760,1,0,0,0,0
SRR8052761,1,0,0,0,0
SRR8052779,1,0,0,0,0
SRR8052780,1,0,0,0,0
SRR8052781,1,0,0,0,0
SRR8052708,0,0,0,0,1
SRR8052710,0,0,0,0,1
SRR8052711,0,0,0,1,0
SRR8052712,0,0,0,0,1
SRR8052716,0,0,0,0,1
SRR8052717,0,0,0,1,0
SRR8052724,0,0,0,0,1
SRR8052726,0,0,0,0,1
SRR8052727,0,0,0,1,0
SRR8052732,0,0,0,0,1
SRR8052734,0,0,0,0,1
SRR8052735,0,0,0,1,0
SRR8052741,0,0,0,1,0
SRR8052742,0,0,0,0,1
SRR8052743,0,0,0,1,0
SRR8052744,0,0,0,0,1
SRR8052745,0,0,0,1,0
SRR8052746,0,0,0,0,1
SRR8052748,0,0,0,0,1
SRR8052750,0,0,0,1,0
SRR8052751,1,0,0,0,0
SRR8052752,1,0,0,0,0
SRR8052753,1,0,0,0,0
SRR8052755,1,0,0,0,0
SRR8052756,1,0,0,0,0
SRR8052766,1,0,0,0,0
SRR8052767,1,0,0,0,0
SRR8052769,1,0,0,0,0
SRR8052771,1,0,0,0,0
SRR8052776,1,0,0,0,0
SRR8052777,1,0,0,0,0
SRR8052709,0,0,0,1,0
SRR8052713,0,0,0,1,0
SRR8052714,0,0,0,0,1
SRR8052715,0,0,0,1,0
SRR8052718,0,0,0,0,1
SRR8052719,0,0,0,1,0
SRR8052720,0,0,0,0,1
SRR8052721,0,0,0,1,0
SRR8052722,0,0,0,0,1
SRR8052723,0,0,0,1,0
SRR8052733,0,0,0,1,0
SRR8052736,0,0,0,0,1
SRR8052737,0,0,0,1,0
SRR8052738,0,0,0,0,1
SRR8052739,0,0,0,1,0
SRR8052740,0,0,0,0,1
SRR8052725,0,0,0,1,0
SRR8052728,0,0,0,0,1
SRR8052729,0,0,0,1,0
SRR8052782,1,0,0,0,0
SRR8052783,1,0,0,0,0
SRR8052784,1,0,0,0,0
SRR8052785,1,0,0,0,0
SRR8052786,1,0,0,0,0
SRR8052787,1,0,0,0,0
SRR8052788,1,0,0,0,0
SRR8052789,0,0,1,0,0
SRR8052790,0,1,0,0,0
SRR8052791,0,0,1,0,0
SRR8052792,0,1,0,0,0
SRR8052793,0,0,1,0,0
SRR8052794,0,1,0,0,0
SRR8052809,0,0,1,0,0
SRR8052810,0,1,0,0,0
SRR8052811,0,0,1,0,0
SRR8052815,0,0,1,0,0
SRR8052816,0,1,0,0,0
SRR8052817,0,0,1,0,0
SRR8052818,0,1,0,0,0
SRR8052819,0,0,1,0,0
SRR8052820,0,1,0,0,0
SRR8052812,0,1,0,0,0
SRR8052813,0,0,1,0,0
SRR8052814,0,1,0,0,0
SRR8052821,0,0,1,0,0
SRR8052822,0,1,0,0,0
SRR8052823,0,0,1,0,0
SRR8052824,0,1,0,0,0
SRR8052825,0,0,1,0,0
SRR8052826,0,1,0,0,0
SRR8052827,0,0,1,0,0
SRR8052828,0,1,0,0,0
SRR8052829,0,0,1,0,0
SRR8052830,0,1,0,0,0
SRR8052831,0,0,1,0,0
SRR8052832,0,1,0,0,0
SRR8052833,0,0,1,0,0
SRR8052834,0,1,0,0,0
SRR8052835,0,0,1,0,0
SRR8052836,0,1,0,0,0
SRR8052837,0,0,1,0,0
SRR8052839,0,1,0,0,0
SRR8052840,0,0,1,0,0
SRR8052838,0,0,1,0,0
SRR8052841,0,1,0,0,0
SRR8052842,0,0,1,0,0
SRR8052843,0,1,0,0,0
SRR8052844,0,0,0,1,0
SRR8052845,0,0,0,0,1
SRR8052846,0,0,0,1,0
SRR8052847,0,0,0,0,1
SRR8052848,0,0,0,0,1
SRR8052849,0,0,0,1,0
SRR8052850,0,0,0,0,1
SRR8052851,0,0,0,1,0
SRR8052852,0,0,0,0,1
SRR8052853,0,0,0,1,0
SRR8052854,0,0,0,0,1
SRR8052762,1,0,0,0,0
SRR8052763,1,0,0,0,0
SRR8052764,1,0,0,0,0
SRR8052765,1,0,0,0,0
SRR8052768,1,0,0,0,0
SRR8052770,1,0,0,0,0
SRR8052772,1,0,0,0,0
SRR8052730,0,0,0,0,1
SRR8052731,0,0,0,1,0
SRR8052773,1,0,0,0,0
SRR8052774,1,0,0,0,0
SRR8052775,1,0,0,0,0
SRR8052778,1,0,0,0,0
SRR8052795,0,0,1,0,0
SRR8052796,0,1,0,0,0
SRR8052797,0,0,1,0,0
SRR8052798,0,1,0,0,0
SRR8052799,0,0,1,0,0
SRR8052800,0,1,0,0,0
SRR8052801,0,0,1,0,0
SRR8052802,0,1,0,0,0
SRR8052803,0,0,1,0,0
SRR8052804,0,1,0,0,0
SRR8052805,0,0,1,0,0
SRR8052806,0,1,0,0,0
SRR8052807,0,0,1,0,0
SRR8052808,0,1,0,0,0
